ANNEE,PATHOLOGIE,SEJOURS,NOTE,SOURCE
2012,Cancéreuses,46789,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Neurologiques,25843,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Cardio-vasculaires,15275,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,"Endocriniennes, métaboliques, nutrition",11611,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Appareil génito-urinaire,11966,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Orthopédiques et traumatologiques,10064,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Appareil digestif,6286,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Obstétrique,4548,,SLP-CHF2012 - Principales causes d'hospitalisation
2012,Infectieuses,3545,,SLP-CHF2012 - Principales causes d'hospitalisation
2015,Cancéreuses,59017,soit 11075 patients dont 7912 nouveaux,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Neurologiques,27748,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Cardio-vasculaires,15938,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,"Endocriniennes, métaboliques, nutrition",12552,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Appareil génito-urinaire,12154,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Orthopédiques et traumatologiques,10850,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Appareil digestif,8566,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Obstétrique,4361,,SLP-CHX2015 - Principales causes d'hospitalisation
2015,Infectieuses,3552,,SLP-CHX2015 - Principales causes d'hospitalisation
